"Order  #","Ext","Customer Code","Ship To","Ship To Name","Location","Customer PO No","Carrier","FOB","Attention","Tax Code","Terms","Currency","Total Order Amt","Total Tax","Total Discount","Freight Amt","Total Invoice","Invoice No","Invoice Date","Enter Date","Sch Ship Date","Ship Date","Status","Who Enter","Blanket","Multiple Ship To","Customer Name (from master)"
"1971992","0","C0002543","12955DL","Bill","DAL","6893530","Kubra","DEST","","E","N0","USD","8.47","0","0","0","8.47","INV0217400","2025-09-03","2025-08-01 11:03","2025-08-01 11:03","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1972284","0","C0002544","12940DL","Letters","DAL","6894039","Kubra","DEST","","E","N0","USD","4.82","0","0","0","4.82","INV0217402","2025-09-03","2025-08-01 21:39","2025-08-01 21:39","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1972278","0","C0002544","12940DL","Letters","DAL","6894035","Kubra","DEST","","E","N0","USD","0.74","0","0","0","0.74","INV0217402","2025-09-03","2025-08-01 21:37","2025-08-01 21:37","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1971996","0","C0002544","12940DL","Letters","DAL","6893541","Kubra","DEST","","E","N0","USD","0.76","0","0","0","0.76","INV0217402","2025-09-03","2025-08-01 11:04","2025-08-01 11:04","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1972164","0","C0002545","12972DL","LUILPDF","DAL","6892566","Kubra","","","E14","N0","USD","18.77","0.28","0","0","19.05","INV0217403","2025-09-03","2025-08-01 17:50","2025-08-01 17:50","2025-08-31","Shipped/Transferred","sa","No","No","Liberty Utilities"
"1972165","0","C0002546","12973DL","LUKSPDF","DAL","6892567","Kubra","DEST","","E14","N0","USD","24.01","0.37","0","0","24.38","INV0217404","2025-09-03","2025-08-01 17:50","2025-08-01 17:50","2025-08-31","Shipped/Transferred","sa","No","No","Liberty Utilities"
"1972120","0","C0002546","12973DL","LUKSPDF","DAL","6892606","Kubra","DEST","","E14","N0","USD","28.04","0.29","0","0","28.33","INV0217404","2025-09-03","2025-08-01 16:15","2025-08-01 16:15","2025-08-31","Shipped/Transferred","sa","No","No","Liberty Utilities"
"1972166","0","C0002547","12974DL","LUMOPDF","DAL","6892571","Kubra","DEST","","E14","N0","USD","1089.02","20.8","0","0","1109.82","INV0217405","2025-09-03","2025-08-01 17:51","2025-08-01 17:51","2025-08-31","Shipped/Transferred","sa","No","No","Liberty Utilities"
"1972122","0","C0002547","12974DL","LUMOPDF","DAL","6892608","Kubra","DEST","","E14","N0","USD","2034.24","28.12","0","0","2062.36","INV0217405","2025-09-03","2025-08-01 16:16","2025-08-01 16:16","2025-08-31","Shipped/Transferred","sa","No","No","Liberty Utilities"
"1972167","0","C0002548","12975DL","LUOKPDF","DAL","6892578","Kubra","","","E14","N0","USD","27.5","0.44","0","0","27.94","INV0217406","2025-09-03","2025-08-01 17:51","2025-08-01 17:51","2025-08-31","Shipped/Transferred","sa","No","No","Liberty Utilities"
"1972123","0","C0002548","12975DL","LUOKPDF","DAL","6892612","Kubra","","","E14","N0","USD","87.72","1.07","0","0","88.79","INV0217406","2025-09-03","2025-08-01 16:16","2025-08-01 16:16","2025-08-31","Shipped/Transferred","sa","No","No","Liberty Utilities"
"1972163","0","C0002549","12984DL","LUIAPDF","DAL","6892565","Kubra","DEST","","E14","N0","USD","9","0.14","0","0","9.14","INV0217407","2025-09-03","2025-08-01 17:49","2025-08-01 17:49","2025-08-31","Shipped/Transferred","sa","No","No","Liberty Utilities"
"1972046","0","C0002549","12984DL","LUIAPDF","DAL","6892604","Kubra","DEST","","E14","N0","USD","5.92","0.06","0","0","5.98","INV0217407","2025-09-03","2025-08-01 13:40","2025-08-01 13:40","2025-08-31","Shipped/Transferred","sa","No","No","Liberty Utilities"
"1971891","0","C0002555","771NC","San Bruno Invoices","NYC","6893298","Kubra","","","E","N0","USD","5.76","0","0","0","5.76","INV0216272","2025-08-04","2025-08-01 8:37","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Recology - San Bruno"
"1971890","0","C0002555","771NC","San Bruno Invoices","NYC","6893297","Kubra","","","E","N0","USD","672.09","0","0","0","672.09","INV0216272","2025-08-04","2025-08-01 8:36","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Recology - San Bruno"
"1972350","0","C0002568","13050NC","PDF Btm Addr Bills & Centralized Letters","NYC","6894141","Kubra","DEST","","E","N0","USD","0.13","0","0","0","0.13","INV0217414","2025-09-03","2025-08-01 23:11","2025-08-01 23:11","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
"1971841","0","C0002568","13049NC","AFP Btm Add-Bills And Notices","NYC","6893224","Kubra","DEST","","E","N0","USD","5692.27","0","0","0","5692.27","INV0215978","2025-08-04","2025-08-01 8:02","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
"1971601","0","C0002568","13049NC","AFP Btm Add-Bills And Notices","NYC","6892412","Kubra","DEST","","E","N0","USD","412.82","0","0","0","412.82","INV0217413","2025-09-03","2025-08-01 2:27","2025-08-01 2:27","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
"1971600","0","C0002568","13049NC","AFP Btm Add-Bills And Notices","NYC","6892411","Kubra","DEST","","E","N0","USD","69.33","0","0","0","69.33","INV0217413","2025-09-03","2025-08-01 2:27","2025-08-01 2:27","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
"1971599","0","C0002568","13051NC","AFP Top Address Letters","NYC","6892410","Kubra","DEST","","E","N0","USD","6.8","0","0","0","6.8","INV0217415","2025-09-03","2025-08-01 2:26","2025-08-01 2:26","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
"1971595","0","C0002568","13051NC","AFP Top Address Letters","NYC","6892408","Kubra","DEST","","E","N0","USD","285.94","0","0","0","285.94","INV0217415","2025-09-03","2025-08-01 2:25","2025-08-01 2:25","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
"1971594","0","C0002568","13049NC","AFP Btm Add-Bills And Notices","NYC","6892407","Kubra","DEST","","E","N0","USD","8.78","0","0","0","8.78","INV0217413","2025-09-03","2025-08-01 2:25","2025-08-01 2:25","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
"1971592","0","C0002568","13049NC","AFP Btm Add-Bills And Notices","NYC","6892405","Kubra","DEST","","E","N0","USD","197.32","0","0","0","197.32","INV0217413","2025-09-03","2025-08-01 2:24","2025-08-01 2:24","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
