Order  #,Ext,Customer Code,Ship To,Ship To Name,Location,Customer PO No,Carrier,FOB,Attention,Tax Code,Terms,Currency,Total Order Amt,Total Tax,Total Discount,Freight Amt,Total Invoice,Invoice No,Invoice Date,Enter Date,Sch Ship Date,Ship Date,Status,Who Enter,Blanket,Multiple Ship To,,,,,,,,,,,,,,,,,,,,,,
1803821,0,C0000613,3103NC,Invoice,NYC,6426733,KUBRA,DEST,,E7,N0,USD,11.58,0.49,0,0,12.07,INV0204212,2024-07-02,2024-06-28 0:53,2024-06-28 0:53,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1803258,0,C0000613,3103NC,Invoice,NYC,6425203,KUBRA,DEST,,E7,N0,USD,28.07,1.11,0,0,29.18,INV0204212,2024-07-02,2024-06-27 0:55,2024-06-27 0:55,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802995,0,C0000613,3103NC,Invoice,NYC,6424659,KUBRA,DEST,,E7,N0,USD,30.16,1.15,0,0,31.31,INV0204212,2024-07-02,2024-06-26 13:16,2024-06-26 13:16,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802703,0,C0000613,3103NC,Invoice,NYC,6423678,KUBRA,DEST,,E7,N0,USD,18.39,0.72,0,0,19.11,INV0204212,2024-07-02,2024-06-26 0:53,2024-06-26 0:53,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1801637,0,C0000613,3103NC,Invoice,NYC,6420018,KUBRA,DEST,,E7,N0,USD,18.56,0.83,0,0,19.39,INV0204212,2024-07-02,2024-06-22 3:06,2024-06-22 3:06,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1801021,0,C0000613,3103NC,Invoice,NYC,6418489,KUBRA,DEST,,E7,N0,USD,6.12,0.23,0,0,6.35,INV0204212,2024-07-02,2024-06-21 0:53,2024-06-21 0:53,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1800516,0,C0000613,3103NC,Invoice,NYC,6417037,KUBRA,DEST,,E7,N0,USD,13.45,0.5,0,0,13.95,INV0204212,2024-07-02,2024-06-20 0:51,2024-06-20 0:51,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1800095,0,C0000613,3103NC,Invoice,NYC,6415688,KUBRA,DEST,,E7,N0,USD,6.12,0.23,0,0,6.35,INV0204212,2024-07-02,2024-06-19 0:54,2024-06-19 0:54,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1799541,0,C0000613,3103NC,Invoice,NYC,6414100,KUBRA,DEST,,E7,N0,USD,7.47,0.32,0,0,7.79,INV0204212,2024-07-02,2024-06-18 0:52,2024-06-18 0:52,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1798982,0,C0000613,3103NC,Invoice,NYC,6411996,KUBRA,DEST,,E7,N0,USD,23.36,0.92,0,0,24.28,INV0204212,2024-07-02,2024-06-15 0:52,2024-06-15 0:52,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1798425,0,C0000613,3103NC,Invoice,NYC,6410426,KUBRA,DEST,,E7,N0,USD,5.37,0.24,0,0,5.61,INV0204212,2024-07-02,2024-06-14 0:52,2024-06-14 0:52,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1797875,0,C0000613,3103NC,Invoice,NYC,6408921,KUBRA,DEST,,E7,N0,USD,17.21,0.73,0,0,17.94,INV0204212,2024-07-02,2024-06-13 0:52,2024-06-13 0:52,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1797365,0,C0000613,3103NC,Invoice,NYC,6407405,KUBRA,DEST,,E7,N0,USD,26.53,0.91,0,0,27.44,INV0204212,2024-07-02,2024-06-12 0:52,2024-06-12 0:52,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1796831,0,C0000613,3103NC,Invoice,NYC,6405863,KUBRA,DEST,,E7,N0,USD,17.77,0.72,0,0,18.49,INV0204212,2024-07-02,2024-06-11 0:51,2024-06-11 0:51,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1796213,0,C0000613,3103NC,Invoice,NYC,6403728,KUBRA,DEST,,E7,N0,USD,14.61,0.57,0,0,15.18,INV0204212,2024-07-02,2024-06-08 0:52,2024-06-08 0:52,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1795691,0,C0000613,3103NC,Invoice,NYC,6402213,KUBRA,DEST,,E7,N0,USD,16.97,0.61,0,0,17.58,INV0204212,2024-07-02,2024-06-07 0:53,2024-06-07 0:53,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1795154,0,C0000613,3103NC,Invoice,NYC,6400677,KUBRA,DEST,,E7,N0,USD,18.57,0.72,0,0,19.29,INV0204212,2024-07-02,2024-06-06 0:51,2024-06-06 0:51,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1794484,0,C0000613,3103NC,Invoice,NYC,6398954,KUBRA,DEST,,E7,N0,USD,13.91,0.48,0,0,14.39,INV0204212,2024-07-02,2024-06-05 0:52,2024-06-05 0:52,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1793998,0,C0000613,3103NC,Invoice,NYC,6397451,KUBRA,DEST,,E7,N0,USD,31.5,1.19,0,0,32.69,INV0204212,2024-07-02,2024-06-04 0:52,2024-06-04 0:52,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1793102,0,C0000613,3103NC,Invoice,NYC,6395120,KUBRA,DEST,,E7,N0,USD,8.59,0.27,0,0,8.86,INV0204212,2024-07-02,2024-06-01 0:53,2024-06-01 0:53,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
