Account,Server,IX1101,IX1102,IX1103,IX1201,IX1202,IX1203,IX1204,IX1205,IX1206,IX1207,IX1208,IX1209,IX1210,IX1211,IX1212,IX1213,IX1214,IX1250,IX1260,IX1302,IX1303,IX1304,IX1305,IX1306,IX1307,IX1308,IX1309,IX1310,IX1311,IX1312,IX1313,IX1314,IX1401,IX1402,IX1403,IX1404,IX1501,IX1502,IX1600,IX1700,CatalogDocs,CatalogPages,CatalogViews,IX1104,IX1105,IX1702,IX1703,IX1704,IX1705,IX1706,IX1707,IX1708,IX1709,IX1710,IX1711,IX1712,IX1713,IX1714,IX1750,IX1752,IX1753,IX1754,IX1755,IX1756,IX1757,IX1758,IX1759,IX1760,IX1761,IX1762,IX1763,IX1764,IX1405,IX11201,IX11202,IX11203,IX11204,IX11205,IX11207,IX11212,IX11213,IX11250,IX11702,IX11703,IX11704,IX11705,IX11707,IX11712,IX11713,IX11752,IX11753,IX11754,IX11755,IX11757,IX11762,IX11763,IX1217,IX1218,IX1219,IX1220,IX1221,IX1222,IX1223,IX1224,IX1225,IX1226,IX1227,IX1237,IX1238,IX1239,IX1240,IX1241,IX1242,IX1243,IX1244,IX1245,IX1246,IX1247,IX1267,IX1268,IX1269,IX1270,IX1271,IX1272,IX1273,IX1274,IX1275,IX1276,IX1277,IX1287,IX1288,IX1289,IX1290,IX1291,IX1292,IX1293,IX1294,IX1295,IX1296,IX1297,IX1427,IX1428,IX1429,IX1430,IX1431,IX1432,IX1433,IX1434,IX1435,IX1436,IX1437,IX11217,IX11218,IX11219,IX11220,IX11221,IX11222,IX11223,IX11224,IX11225,IX11226,IX11227,IX11427,IX11428,IX11429,IX11430,IX11431,IX11432,IX11433,IX11434,IX11435,IX11436,IX11437,IX11237,IX11238,IX11239,IX11240,IX11241,IX11242,IX11243,IX11244,IX11245,IX11246,IX11247,IX11267,IX11268,IX11269,IX11270,IX11271,IX11272,IX11273,IX11274,IX11275,IX11276,IX11277,IX11287,IX11288,IX11289,IX11290,IX11291,IX11292,IX11293,IX11294,IX11295,IX11296,IX11297,
TAMPAELECTRICCIAC,US,0,74048,0,466,0,0,0,466,0,0,0,0,0,0,0,0,0,413,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,466,1=74048,1=0,,0,74048,0,0,0,466,0,0,0,0,0,0,0,0,0,466,0,0,0,466,0,0,0,0,0,0,0,0,0,0,421,0,0,0,413,0,0,0,413,0,0,0,413,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,113,1,125,0,0,0,1,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,104,1,104,0,0,0,1,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TEP,US,0,21168347,0,60289,0,0,23022,37267,0,0,9384,0,0,0,0,0,0,56838,0,0,0,110,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25999,60289,1=21168347,1=0,,0,21168347,0,0,23022,37267,0,0,9384,0,0,0,0,0,0,60289,0,0,23022,37267,0,0,9384,0,0,0,0,0,0,0,66366,0,0,21761,35123,0,0,0,56838,0,0,21761,35123,0,0,0,0,0,21761,35123,0,0,0,2473,149,103,1197,9086,0,0,50,1211,8753,0,2987,552,374,2998,17538,0,0,150,1320,7840,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1785,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,2355,144,97,1077,8661,0,0,49,1113,8363,0,0,0,0,0,0,0,0,0,0,0,0,2753,535,353,2796,16564,0,0,140,1234,7416,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1719,0,0,0,0,299,0,
Transcore,US,0,0,0,254,0,0,0,254,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,,,,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,254,0,0,0,254,0,0,0,0,0,0,0,0,0,0,254,0,0,0,254,0,0,0,247,0,0,0,254,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UESElectric,US,0,4743495,0,15644,0,0,8004,7640,0,0,145,0,0,0,0,0,0,14900,0,0,0,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7280,15644,1=4743495,1=0,,0,4743495,0,0,8004,7640,0,0,145,0,0,0,0,0,0,15644,0,0,8004,7640,0,0,145,0,0,0,0,0,0,0,15002,0,0,7665,7207,0,0,0,14900,0,0,7665,7207,0,0,0,0,0,7665,7207,0,0,0,898,72,42,511,3846,0,0,10,604,2021,0,634,138,68,743,3891,0,0,25,442,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,67,42,457,3681,0,0,10,567,1953,0,0,0,0,0,0,0,0,0,0,0,0,595,138,65,671,3698,0,0,25,411,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,
UESGAS,US,0,7999250,0,17445,0,0,7964,9481,0,0,314,0,0,0,0,0,0,16727,0,0,0,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6963,17445,1=7999250,1=0,,0,7999250,0,0,7964,9481,0,0,314,0,0,0,0,0,0,17445,0,0,7964,9481,0,0,314,0,0,0,0,0,0,0,17114,0,0,7690,9055,0,0,0,16727,0,0,7690,9055,0,0,0,0,0,7690,9055,0,0,0,1207,65,53,434,3482,0,0,14,532,2177,0,1261,148,110,757,4533,0,0,47,449,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,65,53,413,3396,0,0,13,521,2108,0,0,0,0,0,0,0,0,0,0,0,0,1227,144,106,726,4300,0,0,47,428,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UGIutilities,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UINet,US,891874,343393,111203,181355,119396,3878,17785,40296,0,0,29522,12044,0,0,0,0,0,2248,0,1183,0,54,133,0,0,0,0,0,0,0,0,0,9676,0,304,0,42823,133078,0,181355,8=343393,8=891874,1=72|5=10|8=111105|10=16,891874,343393,119396,3878,17785,40296,0,0,29522,12044,0,0,0,0,0,181355,119396,3878,17785,40296,0,0,29522,12044,0,0,0,0,0,0,218970,117715,0,17244,38246,0,0,0,2248,117715,0,17244,38246,0,0,0,117715,0,17244,38246,0,0,0,3091,0,117,1428,5985,0,0,80,1781,5303,0,6696,0,909,5824,19475,0,0,189,1888,5654,0,119396,0,0,0,0,0,0,0,0,0,0,270,0,26,377,1357,0,0,35,323,1115,0,0,0,0,0,0,0,0,0,0,0,0,3021,0,111,1355,5851,0,0,77,1748,5170,0,0,0,0,0,0,0,0,0,0,0,0,6517,0,873,5431,18601,0,0,175,1766,5223,0,118196,0,0,0,0,0,0,0,0,0,0,261,0,25,348,1282,0,0,34,300,1039,0,
UINet_NewConnect,US,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,,,,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unisource,US,688232,688232,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26745,0,0,0,0,0,0,0,1=101225|2=169013|3=417994,1=101225|2=169013|3=417994,1=152|2=235|3=629,688232,688232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unitil,US,832436,28241180,35483,59929,47721,23,0,12185,4253,0,11222,303,0,0,0,0,0,816,0,171,0,0,72,0,0,0,0,0,0,0,0,0,10518,0,0,0,0,0,1729,59929,1=198380|3=28042690|5=110,1=832316|3=0|5=120,1=35483,832436,28241180,47721,23,0,12185,4253,0,11222,303,0,0,0,0,0,59929,47721,23,0,12185,4253,0,11222,303,0,0,0,0,0,0,74280,46588,0,0,11826,0,0,0,816,46588,0,0,11826,0,0,0,46588,0,0,11826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3515,0,0,1617,7017,0,0,0,0,0,0,28796,0,0,6709,12209,0,0,0,0,0,0,22,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3393,0,0,1534,6874,0,0,0,0,0,0,28493,0,0,6418,11743,0,0,0,0,0,0,22,0,0,21,4,0,0,0,0,0,0,
