Account,Server,IX1101,IX1102,IX1103,IX1201,IX1202,IX1203,IX1204,IX1205,IX1206,IX1207,IX1208,IX1209,IX1210,IX1211,IX1212,IX1213,IX1214,IX1250,IX1260,IX1302,IX1303,IX1304,IX1305,IX1306,IX1307,IX1308,IX1309,IX1310,IX1311,IX1312,IX1313,IX1314,IX1401,IX1402,IX1403,IX1404,IX1501,IX1502,IX1600,IX1700,CatalogDocs,CatalogPages,CatalogViews,IX1104,IX1105,IX1702,IX1703,IX1704,IX1705,IX1706,IX1707,IX1708,IX1709,IX1710,IX1711,IX1712,IX1713,IX1714,IX1750,IX1752,IX1753,IX1754,IX1755,IX1756,IX1757,IX1758,IX1759,IX1760,IX1761,IX1762,IX1763,IX1764,IX1405,IX11201,IX11202,IX11203,IX11204,IX11205,IX11207,IX11212,IX11213,IX11250,IX11702,IX11703,IX11704,IX11705,IX11707,IX11712,IX11713,IX11752,IX11753,IX11754,IX11755,IX11757,IX11762,IX11763,IX1217,IX1218,IX1219,IX1220,IX1221,IX1222,IX1223,IX1224,IX1225,IX1226,IX1227,IX1237,IX1238,IX1239,IX1240,IX1241,IX1242,IX1243,IX1244,IX1245,IX1246,IX1247,IX1267,IX1268,IX1269,IX1270,IX1271,IX1272,IX1273,IX1274,IX1275,IX1276,IX1277,IX1287,IX1288,IX1289,IX1290,IX1291,IX1292,IX1293,IX1294,IX1295,IX1296,IX1297,IX1427,IX1428,IX1429,IX1430,IX1431,IX1432,IX1433,IX1434,IX1435,IX1436,IX1437,IX11217,IX11218,IX11219,IX11220,IX11221,IX11222,IX11223,IX11224,IX11225,IX11226,IX11227,IX11427,IX11428,IX11429,IX11430,IX11431,IX11432,IX11433,IX11434,IX11435,IX11436,IX11437,IX11237,IX11238,IX11239,IX11240,IX11241,IX11242,IX11243,IX11244,IX11245,IX11246,IX11247,IX11267,IX11268,IX11269,IX11270,IX11271,IX11272,IX11273,IX11274,IX11275,IX11276,IX11277,IX11287,IX11288,IX11289,IX11290,IX11291,IX11292,IX11293,IX11294,IX11295,IX11296,IX11297,
BangorHydro,US,598657,9955110,44462,85714,62905,2155,9592,9465,6673,1597,0,0,0,0,0,0,0,0,0,450,0,31,103,0,25,0,0,0,0,0,0,0,3069,0,0,0,0,0,10489,85714,1=9754078|2=167847|4=1686|5=23894|7=7605,1=0|2=528384|4=3182|5=58261|7=8830,2=44462,598657,9955110,62905,2155,9592,9465,6673,1597,0,0,0,0,0,0,0,85714,62905,2155,9592,9465,6673,1597,0,0,0,0,0,0,0,0,90942,61412,0,9231,9094,1533,0,0,0,61412,0,9231,9094,1533,0,0,61412,0,9231,9094,1533,0,0,1024,0,81,877,1134,0,0,14,1892,4570,0,3001,0,161,1326,2150,0,0,24,1352,2872,0,62905,0,0,0,0,0,0,0,0,0,0,527,0,0,0,77,0,0,0,0,122,0,1597,0,0,0,0,0,0,0,0,0,0,993,0,77,825,1105,0,0,14,1854,4436,0,1551,0,0,0,0,0,0,0,0,0,0,2904,0,153,1264,2071,0,0,21,1317,2745,0,62252,0,0,0,0,0,0,0,0,0,0,502,0,0,0,72,0,0,0,0,113,0,
BearValleyElectricService,US,51432,1297284,4602,13415,10537,0,1112,1766,0,0,0,0,0,0,0,0,0,2728,0,86,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,13415,1=25464|2=1271820,1=51432|2=0,1=4602,51432,1297284,10537,0,1112,1766,0,0,0,0,0,0,0,0,0,13415,10537,0,1112,1766,0,0,0,0,0,0,0,0,0,0,13176,10507,0,1054,1690,0,0,0,2728,10507,0,1054,1690,0,0,0,10507,0,1054,1690,0,0,0,285,0,4,103,410,0,0,4,40,266,0,527,0,13,209,706,0,0,8,55,245,0,10537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,4,92,392,0,0,4,39,260,0,0,0,0,0,0,0,0,0,0,0,0,517,0,13,196,660,0,0,8,53,241,0,10416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BERKSHIREGAS,US,163680,41014,7841,20468,15606,0,1221,2896,0,744,0,0,0,0,0,0,0,3764,0,147,0,10,12,0,4,0,0,0,0,0,0,0,0,0,0,0,4336,20407,0,20468,8=41014,8=163680,2=39|8=7802,163680,41014,15606,0,1221,2896,0,744,0,0,0,0,0,0,0,20468,15606,0,1221,2896,0,744,0,0,0,0,0,0,0,0,20058,15316,0,1140,2685,772,0,0,3764,15316,0,1140,2685,772,0,0,15316,0,1140,2685,772,0,0,444,0,2,80,129,0,0,3,252,311,0,673,0,33,428,753,0,0,8,412,584,0,15606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,421,0,2,78,124,0,0,3,242,301,0,740,0,0,0,0,0,0,0,0,0,0,616,0,32,406,702,0,0,8,378,543,0,15461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Berkshiregas_NewConnect,US,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BLOOMINGTON,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ButteCounty,US,0,0,0,17,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,17,0,0,2,15,0,0,0,0,0,0,0,0,0,0,17,0,0,2,15,0,0,0,0,0,0,2,15,0,0,0,0,0,2,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CanyonLake,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CARMAUS,US,4583,202916,661,953,807,1,18,127,0,0,0,0,0,0,0,0,0,134,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,205,98,953,1=200537|2=2147|3=232,1=0|2=4119|3=464,2=661,4583,202916,807,1,18,127,0,0,0,0,0,0,0,0,0,953,807,1,18,127,0,0,0,0,0,0,0,0,0,0,935,778,0,16,120,0,0,0,134,778,0,16,120,0,0,0,778,0,16,120,0,0,0,3,0,0,2,6,0,0,0,1,6,0,17,0,1,28,60,0,0,0,4,17,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,27,54,0,0,0,4,17,0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
CasellaRCS,US,26140,1566973,4645,16391,11205,896,856,1720,0,1714,0,0,0,0,0,0,0,0,0,47,0,8,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2329,16391,1=25653|2=1541320,1=26140|2=0,1=4637|3=8,26140,1566973,11205,896,856,1720,0,1714,0,0,0,0,0,0,0,16391,11205,896,856,1720,0,1714,0,0,0,0,0,0,0,0,15203,10397,0,837,1663,1429,0,0,0,10397,0,837,1663,1429,0,0,10397,0,837,1663,1429,0,0,205,23,21,148,459,0,0,0,0,0,0,453,77,49,251,889,0,0,0,0,0,0,3166,786,324,1707,5222,0,0,0,0,0,0,58,42,16,277,503,0,0,0,0,0,0,381,127,43,263,900,0,0,0,0,0,0,198,22,21,146,445,0,0,0,0,0,0,377,119,35,198,700,0,0,0,0,0,0,449,76,47,241,850,0,0,0,0,0,0,3135,765,310,1546,4684,0,0,0,0,0,0,56,41,16,267,459,0,0,0,0,0,0,
CasellaWaste,US,106411,6200685,3328,12923,7526,1937,266,1723,0,1471,0,0,0,0,0,0,0,0,0,22,0,0,20,0,10,0,0,0,2088,0,0,0,0,0,0,0,53,81,1979,12923,5=6139372|6=20525|7=40788,5=0|6=24814|7=81597,1=1|2=1|6=3319|7=7,106411,6200685,7526,1937,266,1723,0,1471,0,0,0,0,0,0,0,12923,7526,1937,266,1723,0,1471,0,0,0,0,0,0,0,0,12005,6592,0,265,1638,1158,0,0,0,6592,0,265,1638,1158,0,0,6592,0,265,1638,1158,0,0,62,9,4,51,140,0,0,0,0,0,0,343,72,44,367,894,0,0,0,0,0,0,1755,436,241,1557,3537,0,0,0,0,0,0,146,79,48,475,1187,0,0,0,0,0,0,207,79,43,363,778,0,0,0,0,0,0,62,9,4,50,140,0,0,0,0,0,0,201,72,38,280,609,0,0,0,0,0,0,342,72,42,343,839,0,0,0,0,0,0,1746,414,228,1412,3247,0,0,0,0,0,0,138,78,47,455,1137,0,0,0,0,0,0,
